date, value
8/20/1973,0.6735
8/21/1973,0.671
8/22/1973,0.658
8/23/1973,0.6675
8/24/1973,0.666
8/27/1973,0.659
8/28/1973,0.64
8/29/1973,0.6345
8/30/1973,0.6387
8/31/1973,0.6402
9/4/1973,0.6432
9/5/1973,0.637
9/6/1973,0.636
9/7/1973,0.638
9/10/1973,0.6335
9/11/1973,0.6302
9/12/1973,0.6365
9/13/1973,0.645
9/14/1973,0.6645
9/17/1973,0.6575
9/18/1973,0.6562
9/19/1973,0.6515
9/20/1973,0.648
9/21/1973,0.6465
9/24/1973,0.657
9/25/1973,0.673
9/26/1973,0.684
9/27/1973,0.6855
9/28/1973,0.6782
10/1/1973,0.68
10/2/1973,0.6847
10/3/1973,0.6845
10/4/1973,0.6812
10/5/1973,0.6822
10/9/1973,0.677
10/10/1973,0.6795
10/11/1973,0.6702
10/12/1973,0.6507
10/15/1973,0.6415
10/16/1973,0.6433
10/17/1973,0.642
10/18/1973,0.6493
10/19/1973,0.652
10/23/1973,0.652
10/24/1973,0.6453
10/25/1973,0.6483
10/26/1973,0.6478
10/29/1973,0.6438
10/30/1973,0.6448
10/31/1973,0.6505
11/1/1973,0.6544
11/2/1973,0.6475
11/5/1973,0.652
11/7/1973,0.655
11/8/1973,0.657
11/9/1973,0.657
11/12/1973,0.661
11/13/1973,0.657
11/14/1973,0.6413
11/15/1973,0.6445
11/16/1973,0.647
11/19/1973,0.6503
11/20/1973,0.64
11/21/1973,0.6381
11/23/1973,0.641
11/26/1973,0.6275
11/27/1973,0.628
11/28/1973,0.6344
11/29/1973,0.6498
11/30/1973,0.6534
12/3/1973,0.6618
12/4/1973,0.6645
12/5/1973,0.6655
12/6/1973,0.664
12/7/1973,0.6718
12/10/1973,0.685
12/11/1973,0.6735
12/12/1973,0.6739
12/13/1973,0.6698
12/14/1973,0.667
12/17/1973,0.6688
12/18/1973,0.6693
12/19/1973,0.672
12/20/1973,0.6728
12/21/1973,0.6733
12/26/1973,0.6763
12/27/1973,0.674
12/28/1973,0.6705
12/31/1973,0.674
1/2/1974,0.689
1/3/1974,0.688
1/4/1974,0.684
1/7/1974,0.6978
1/8/1974,0.692
1/9/1974,0.6903
1/10/1974,0.6958
1/11/1974,0.7085
1/14/1974,0.7285
1/15/1974,0.7195
1/16/1974,0.7238
1/17/1974,0.719
1/18/1974,0.718
1/21/1974,0.738
1/22/1974,0.731
1/23/1974,0.7225
1/24/1974,0.7405
1/25/1974,0.7485
1/28/1974,0.7425
1/29/1974,0.7373
1/30/1974,0.7328
1/31/1974,0.7265
2/1/1974,0.7333
2/4/1974,0.7533
2/5/1974,0.755
2/6/1974,0.7405
2/7/1974,0.75
2/8/1974,0.768
2/11/1974,0.788
2/13/1974,0.768
2/14/1974,0.773
2/15/1974,0.78
2/19/1974,0.76
2/20/1974,0.7425
2/21/1974,0.7625
2/22/1974,0.7548
2/25/1974,0.7476
2/26/1974,0.7625
2/27/1974,0.7442
2/28/1974,0.7347
3/1/1974,0.737
3/4/1974,0.7181
3/5/1974,0.7025
3/6/1974,0.719
3/7/1974,0.72
3/8/1974,0.7248
3/11/1974,0.7208
3/12/1974,0.7208
3/13/1974,0.7233
3/14/1974,0.7393
3/15/1974,0.7363
3/18/1974,0.7433
3/19/1974,0.7318
3/20/1974,0.7453
3/21/1974,0.7653
3/22/1974,0.7568
3/25/1974,0.7368
3/26/1974,0.72
3/27/1974,0.734
3/28/1974,0.7315
3/29/1974,0.749
4/1/1974,0.7305
4/2/1974,0.7365
4/3/1974,0.734
4/4/1974,0.7425
4/5/1974,0.726
4/8/1974,0.708
4/9/1974,0.712
4/10/1974,0.716
4/11/1974,0.714
4/15/1974,0.71
4/16/1974,0.69
4/17/1974,0.6993
4/18/1974,0.707
4/19/1974,0.7148
4/22/1974,0.719
4/23/1974,0.704
4/24/1974,0.6985
4/25/1974,0.699
4/26/1974,0.7088
4/29/1974,0.7162
4/30/1974,0.7246
5/1/1974,0.7455
5/2/1974,0.744
5/3/1974,0.7415
5/6/1974,0.7215
5/7/1974,0.7285
5/8/1974,0.7356
5/9/1974,0.7458
5/10/1974,0.7463
5/13/1974,0.7338
5/14/1974,0.7325
5/15/1974,0.7125
5/16/1974,0.7293
5/17/1974,0.7355
5/20/1974,0.7278
5/21/1974,0.7328
5/22/1974,0.731
5/23/1974,0.7138
5/24/1974,0.7243
5/28/1974,0.7165
5/29/1974,0.7255
5/30/1974,0.7263
5/31/1974,0.7313
6/3/1974,0.7355
6/4/1974,0.7325
6/5/1974,0.7393
6/6/1974,0.7428
6/7/1974,0.7435
6/10/1974,0.7505
6/11/1974,0.7478
6/12/1974,0.7475
6/13/1974,0.748
6/14/1974,0.7495
6/17/1974,0.737
6/18/1974,0.717
6/19/1974,0.7318
6/20/1974,0.726
6/21/1974,0.7098
6/24/1974,0.6898
6/25/1974,0.6752
6/26/1974,0.6914
6/27/1974,0.6868
6/28/1974,0.7054
7/1/1974,0.7075
7/2/1974,0.711
7/3/1974,0.723
7/5/1974,0.718
7/8/1974,0.698
7/9/1974,0.69
7/10/1974,0.699
7/11/1974,0.719
7/12/1974,0.728
7/15/1974,0.726
7/16/1974,0.7292
7/17/1974,0.7328
7/18/1974,0.7128
7/19/1974,0.6928
7/22/1974,0.695
7/23/1974,0.68
7/24/1974,0.6985
7/25/1974,0.69
7/26/1974,0.697
7/29/1974,0.6908
7/30/1974,0.698
7/31/1974,0.6925
8/1/1974,0.6725
8/2/1974,0.6635
8/5/1974,0.649
8/6/1974,0.646
8/7/1974,0.626
8/8/1974,0.625
8/9/1974,0.6243
8/12/1974,0.6047
8/13/1974,0.624
8/14/1974,0.604
8/15/1974,0.599
8/16/1974,0.5935
8/19/1974,0.582
8/20/1974,0.602
8/21/1974,0.622
8/22/1974,0.642
8/23/1974,0.6615
8/26/1974,0.7015
8/27/1974,0.6942
8/28/1974,0.6594
8/29/1974,0.6381
8/30/1974,0.6048
9/3/1974,0.5735
9/4/1974,0.5645
9/5/1974,0.556
9/6/1974,0.5615
9/9/1974,0.5625
9/10/1974,0.565
9/11/1974,0.548
9/12/1974,0.538
9/13/1974,0.518
9/16/1974,0.5017
9/17/1974,0.5217
9/18/1974,0.5045
9/19/1974,0.5245
9/20/1974,0.5215
9/23/1974,0.5415
9/24/1974,0.549
9/25/1974,0.569
9/26/1974,0.5615
9/27/1974,0.562
9/30/1974,0.542
10/1/1974,0.5445
10/2/1974,0.5525
10/3/1974,0.565
10/4/1974,0.564
10/7/1974,0.565
10/8/1974,0.585
10/9/1974,0.5805
10/10/1974,0.5845
10/11/1974,0.5844
10/15/1974,0.5962
10/16/1974,0.5932
10/17/1974,0.5858
10/18/1974,0.5835
10/21/1974,0.574
10/22/1974,0.58
10/23/1974,0.58
10/24/1974,0.5725
10/25/1974,0.5665
10/28/1974,0.579
10/29/1974,0.57
10/30/1974,0.5759
10/31/1974,0.576
11/1/1974,0.572
11/4/1974,0.572
11/6/1974,0.58
11/7/1974,0.5873
11/8/1974,0.5965
11/12/1974,0.6165
11/13/1974,0.5997
11/14/1974,0.609
11/15/1974,0.608
11/18/1974,0.6185
11/19/1974,0.632
11/20/1974,0.6205
11/21/1974,0.6135
11/22/1974,0.6075
11/25/1974,0.5991
11/26/1974,0.5979
11/27/1974,0.6089
11/29/1974,0.6144
12/2/1974,0.6135
12/3/1974,0.6077
12/4/1974,0.599
12/5/1974,0.579
12/6/1974,0.5758
12/9/1974,0.587
12/10/1974,0.579
12/11/1974,0.5825
12/12/1974,0.5958
12/13/1974,0.5913
12/16/1974,0.6023
12/17/1974,0.5935
12/18/1974,0.5968
12/19/1974,0.6
12/20/1974,0.6015
12/23/1974,0.6
12/27/1974,0.6013
12/30/1974,0.596
12/31/1974,0.5962
1/2/1975,0.5959
1/3/1975,0.5941
1/6/1975,0.5865
1/7/1975,0.584
1/8/1975,0.5825
1/9/1975,0.576
1/10/1975,0.5728
1/13/1975,0.5568
1/14/1975,0.565
1/15/1975,0.5535
1/16/1975,0.5465
1/17/1975,0.549
1/20/1975,0.546
1/21/1975,0.5383
1/22/1975,0.537
1/23/1975,0.5405
1/24/1975,0.5605
1/27/1975,0.5523
1/28/1975,0.5498
1/29/1975,0.553
1/30/1975,0.552
1/31/1975,0.5475
2/3/1975,0.5518
2/4/1975,0.549
2/5/1975,0.5396
2/6/1975,0.54
2/7/1975,0.5387
2/10/1975,0.537
2/11/1975,0.544
2/13/1975,0.564
2/14/1975,0.557
2/18/1975,0.537
2/19/1975,0.522
2/20/1975,0.5225
2/21/1975,0.5275
2/24/1975,0.5205
2/25/1975,0.523
2/26/1975,0.5187
2/27/1975,0.516
2/28/1975,0.514
3/3/1975,0.5075
3/4/1975,0.5185
3/5/1975,0.513
3/6/1975,0.5145
3/7/1975,0.522
3/10/1975,0.523
3/11/1975,0.523
3/12/1975,0.516
3/13/1975,0.515
3/14/1975,0.5085
3/17/1975,0.502
3/18/1975,0.5092
3/19/1975,0.508
3/20/1975,0.506
3/21/1975,0.5098
3/24/1975,0.51
3/25/1975,0.514
3/26/1975,0.5162
3/27/1975,0.519
3/31/1975,0.519
4/1/1975,0.5105
4/2/1975,0.4943
4/3/1975,0.5005
4/4/1975,0.4885
4/7/1975,0.4915
4/8/1975,0.484
4/9/1975,0.4775
4/10/1975,0.47
4/11/1975,0.463
4/14/1975,0.469
4/15/1975,0.475
4/16/1975,0.47
4/17/1975,0.475
4/18/1975,0.4795
4/21/1975,0.49
4/22/1975,0.4795
4/23/1975,0.4735
4/24/1975,0.468
4/25/1975,0.4739
4/28/1975,0.4756
4/29/1975,0.4798
4/30/1975,0.4855
5/1/1975,0.496
5/2/1975,0.5
5/5/1975,0.5005
5/6/1975,0.519
5/7/1975,0.5032
5/8/1975,0.5143
5/9/1975,0.516
5/12/1975,0.514
5/13/1975,0.5025
5/14/1975,0.5075
5/15/1975,0.5078
5/16/1975,0.5195
5/19/1975,0.525
5/20/1975,0.5238
5/21/1975,0.532
5/22/1975,0.545
5/23/1975,0.5465
5/27/1975,0.546
5/28/1975,0.5325
5/29/1975,0.535
5/30/1975,0.5411
6/2/1975,0.54
6/3/1975,0.547
6/4/1975,0.558
6/5/1975,0.561
6/6/1975,0.5725
6/9/1975,0.5903
6/10/1975,0.5845
6/11/1975,0.5915
6/12/1975,0.585
6/13/1975,0.5945
6/16/1975,0.5958
6/17/1975,0.5758
6/18/1975,0.5645
6/19/1975,0.5575
6/20/1975,0.5545
6/23/1975,0.5345
6/24/1975,0.5208
6/25/1975,0.5376
6/26/1975,0.5331
6/27/1975,0.5436
6/30/1975,0.548
7/1/1975,0.5443
7/2/1975,0.536
7/3/1975,0.5305
7/7/1975,0.5413
7/8/1975,0.5495
7/9/1975,0.5438
7/10/1975,0.5405
7/11/1975,0.5472
7/14/1975,0.5465
7/15/1975,0.5448
7/16/1975,0.55
7/17/1975,0.57
7/18/1975,0.59
7/21/1975,0.61
7/22/1975,0.65
7/23/1975,0.69
7/24/1975,0.73
7/25/1975,0.77
7/28/1975,0.81
7/29/1975,0.8223
7/30/1975,0.8345
7/31/1975,0.8405
8/1/1975,0.849
8/4/1975,0.879
8/5/1975,0.854
8/6/1975,0.85
8/7/1975,0.8335
8/8/1975,0.848
8/11/1975,0.839
8/12/1975,0.836
8/13/1975,0.8375
8/14/1975,0.8435
8/15/1975,0.862
8/18/1975,0.8665
8/19/1975,0.8617
8/20/1975,0.86
8/21/1975,0.8437
8/22/1975,0.8385
8/25/1975,0.821
8/26/1975,0.8337
8/27/1975,0.8415
8/28/1975,0.8434
8/29/1975,0.8376
9/2/1975,0.823
9/3/1975,0.8015
9/4/1975,0.816
9/5/1975,0.8135
9/8/1975,0.7945
9/9/1975,0.797
9/10/1975,0.784
9/11/1975,0.785
9/12/1975,0.8051
9/15/1975,0.822
9/16/1975,0.8247
9/17/1975,0.8178
9/18/1975,0.822
9/19/1975,0.8335
9/22/1975,0.829
9/23/1975,0.8365
9/24/1975,0.829
9/25/1975,0.8248
9/26/1975,0.8215
9/29/1975,0.816
9/30/1975,0.8093
10/1/1975,0.809
10/2/1975,0.811
10/3/1975,0.819
10/6/1975,0.8215
10/7/1975,0.8115
10/8/1975,0.8
10/9/1975,0.81
10/10/1975,0.8125
10/14/1975,0.81
10/15/1975,0.805
10/16/1975,0.8137
10/17/1975,0.8187
10/20/1975,0.8122
10/21/1975,0.8095
10/22/1975,0.8035
10/23/1975,0.8055
10/24/1975,0.802
10/27/1975,0.8075
10/28/1975,0.808
10/29/1975,0.8119
10/30/1975,0.8083
10/31/1975,0.801
11/3/1975,0.791
11/5/1975,0.7765
11/6/1975,0.7737
11/7/1975,0.773
11/10/1975,0.7715
11/12/1975,0.757
11/13/1975,0.7582
11/14/1975,0.767
11/17/1975,0.7665
11/18/1975,0.7753
11/19/1975,0.7685
11/20/1975,0.7825
11/24/1975,0.7775
11/25/1975,0.777
11/26/1975,0.7802
11/28/1975,0.8012
12/1/1975,0.7935
12/2/1975,0.7965
12/3/1975,0.7968
12/4/1975,0.7948
12/5/1975,0.794
12/8/1975,0.81
12/9/1975,0.8088
12/10/1975,0.8235
12/11/1975,0.826
12/12/1975,0.8345
12/15/1975,0.8545
12/16/1975,0.8605
12/17/1975,0.8548
12/18/1975,0.8715
12/19/1975,0.8686
12/22/1975,0.879
12/23/1975,0.8775
12/24/1975,0.875
12/29/1975,0.871
12/30/1975,0.871
12/31/1975,0.8725
1/5/1976,0.871
1/6/1976,0.869
1/7/1976,0.889
1/8/1976,0.909
1/9/1976,0.9165
1/12/1976,0.9365
1/13/1976,0.932
1/14/1976,0.9447
1/15/1976,0.941
1/16/1976,0.945
1/19/1976,0.965
1/20/1976,0.967
1/21/1976,0.9562
1/22/1976,0.9505
1/23/1976,0.935
1/26/1976,0.9175
1/27/1976,0.9375
1/28/1976,0.9535
1/29/1976,0.9465
1/30/1976,0.95
2/2/1976,0.9675
2/3/1976,0.9605
2/4/1976,0.9745
2/5/1976,0.9895
2/6/1976,1.0095
2/9/1976,1.0295
2/10/1976,1.0133
2/11/1976,1.023
2/13/1976,1.0335
2/17/1976,1.0135
2/18/1976,1.0105
2/19/1976,1.0114
2/20/1976,0.9914
2/23/1976,0.9835
2/24/1976,0.988
2/25/1976,0.973
2/26/1976,0.9551
2/27/1976,0.9627
3/1/1976,0.9515
3/2/1976,0.9657
3/3/1976,0.971
3/4/1976,0.983
3/5/1976,0.988
3/8/1976,0.9815
3/9/1976,0.9854
3/10/1976,0.986
3/11/1976,0.974
3/12/1976,0.9793
3/15/1976,0.9612
3/16/1976,0.961
3/17/1976,0.981
3/18/1976,0.998
3/19/1976,0.996
3/22/1976,1.016
3/23/1976,1.0245
3/24/1976,1.039
3/25/1976,1.0413
3/26/1976,1.0392
3/29/1976,1.0592
3/30/1976,1.067
3/31/1976,1.087
4/1/1976,1.107
4/2/1976,1.1235
4/5/1976,1.1435
4/6/1976,1.1635
4/7/1976,1.1475
4/8/1976,1.1675
4/9/1976,1.1875
4/12/1976,1.2075
4/13/1976,1.198
4/14/1976,1.218
4/15/1976,1.2355
4/19/1976,1.2555
4/20/1976,1.2755
4/21/1976,1.2555
4/22/1976,1.2755
4/23/1976,1.2835
4/26/1976,1.339
4/27/1976,1.3047
4/28/1976,1.2753
4/29/1976,1.2915
4/30/1976,1.2593
5/3/1976,1.225
5/4/1976,1.2445
5/5/1976,1.2745
5/6/1976,1.3045
5/7/1976,1.3345
5/10/1976,1.3375
5/11/1976,1.3515
5/12/1976,1.3815
5/13/1976,1.401
5/14/1976,1.395
5/17/1976,1.3845
5/18/1976,1.3545
5/19/1976,1.3455
5/20/1976,1.3755
5/21/1976,1.4025
5/24/1976,1.3915
5/25/1976,1.4213
5/26/1976,1.413
5/27/1976,1.383
5/28/1976,1.4105
6/1/1976,1.403
6/2/1976,1.405
6/3/1976,1.414
6/4/1976,1.404
6/7/1976,1.391
6/8/1976,1.421
6/9/1976,1.451
6/10/1976,1.481
6/11/1976,1.511
6/14/1976,1.501
6/15/1976,1.5075
6/16/1976,1.5375
6/17/1976,1.56
6/18/1976,1.565
6/21/1976,1.554
6/22/1976,1.546
6/23/1976,1.516
6/24/1976,1.5
6/25/1976,1.5374
6/28/1976,1.5248
6/29/1976,1.513
6/30/1976,1.5276
7/1/1976,1.529
7/2/1976,1.5125
7/6/1976,1.4825
7/7/1976,1.4525
7/8/1976,1.4415
7/9/1976,1.4115
7/12/1976,1.3815
7/13/1976,1.3515
7/14/1976,1.3235
7/15/1976,1.2935
7/16/1976,1.2635
7/19/1976,1.2335
7/20/1976,1.2635
7/21/1976,1.279
7/22/1976,1.2635
7/23/1976,1.2935
7/26/1976,1.3235
7/27/1976,1.3405
7/28/1976,1.3705
7/29/1976,1.4005
7/30/1976,1.4175
8/2/1976,1.4475
8/3/1976,1.441
8/4/1976,1.464
8/5/1976,1.4795
8/6/1976,1.502
8/9/1976,1.472
8/10/1976,1.4765
8/11/1976,1.486
8/12/1976,1.516
8/13/1976,1.546
8/16/1976,1.576
8/17/1976,1.606
8/18/1976,1.605
8/19/1976,1.61
8/20/1976,1.5802
8/23/1976,1.57
8/24/1976,1.5965
8/25/1976,1.675
8/26/1976,1.6216
8/27/1976,1.561
8/30/1976,1.5194
8/31/1976,1.5128
9/1/1976,1.4998
9/2/1976,1.5298
9/3/1976,1.5385
9/7/1976,1.5685
9/8/1976,1.5785
9/9/1976,1.557
9/10/1976,1.587
9/13/1976,1.5775
9/14/1976,1.5555
9/15/1976,1.5515
9/16/1976,1.549
9/17/1976,1.53
9/20/1976,1.5
9/21/1976,1.5125
9/22/1976,1.532
9/23/1976,1.562
9/24/1976,1.616
9/27/1976,1.67
9/28/1976,1.6495
9/29/1976,1.661
9/30/1976,1.6625
10/1/1976,1.69
10/4/1976,1.6925
10/5/1976,1.7175
10/6/1976,1.695
10/7/1976,1.735
10/8/1976,1.745
10/12/1976,1.77
10/13/1976,1.767
10/14/1976,1.707
10/15/1976,1.75
10/18/1976,1.7775
10/19/1976,1.755
10/20/1976,1.7305
10/21/1976,1.7425
10/22/1976,1.735
10/25/1976,1.705
10/26/1976,1.68
10/27/1976,1.76
10/28/1976,1.7825
10/29/1976,1.785
11/1/1976,1.775
11/3/1976,1.77
11/4/1976,1.7865
11/5/1976,1.813
11/8/1976,1.8275
11/9/1976,1.83
11/10/1976,1.835
11/12/1976,1.855
11/15/1976,1.84
11/16/1976,1.835
11/17/1976,1.79
11/18/1976,1.7888
11/19/1976,1.825
11/22/1976,1.8563
11/23/1976,1.8275
11/24/1976,1.8188
11/26/1976,1.8499
11/29/1976,1.8849
11/30/1976,1.8713
12/1/1976,1.8926
12/2/1976,1.9038
12/3/1976,1.9338
12/6/1976,1.96
12/7/1976,1.93
12/8/1976,1.96
12/9/1976,1.9856
12/10/1976,1.995
12/13/1976,2.025
12/14/1976,2.0545
12/15/1976,2.0419
12/16/1976,2.0719
12/17/1976,2.1019
12/20/1976,2.1295
12/21/1976,2.1595
12/22/1976,2.1895
12/23/1976,2.1953
12/27/1976,2.214
12/28/1976,2.16
12/29/1976,2.1798
12/30/1976,2.2445
1/3/1977,2.2856
1/4/1977,2.2804
1/5/1977,2.2268
1/6/1977,2.2006
1/7/1977,2.1144
1/10/1977,1.9752
1/11/1977,2.1445
1/12/1977,2.2267
1/13/1977,2.2142
1/14/1977,2.2377
1/17/1977,2.1925
1/18/1977,2.1591
1/19/1977,2.1232
1/20/1977,2.199
1/21/1977,2.1975
1/24/1977,2.1488
1/25/1977,2.1806
1/26/1977,2.2185
1/27/1977,2.225
1/28/1977,2.2018
1/31/1977,2.2293
2/1/1977,2.2108
2/2/1977,2.2375
2/3/1977,2.251
2/4/1977,2.2764
2/7/1977,2.359
2/8/1977,2.2969
2/9/1977,2.3525
2/10/1977,2.357
2/11/1977,2.3728
2/14/1977,2.41
2/15/1977,2.4392
2/16/1977,2.4147
2/17/1977,2.4645
2/18/1977,2.519
2/22/1977,2.4959
2/23/1977,2.5555
2/24/1977,2.668
2/25/1977,2.6969
2/28/1977,2.7098
3/1/1977,2.7149
3/2/1977,2.7549
3/3/1977,2.7949
3/4/1977,2.8349
3/7/1977,2.8749
3/8/1977,2.9149
3/9/1977,2.9505
3/10/1977,2.9105
3/11/1977,2.9001
3/14/1977,2.9401
3/15/1977,2.9801
3/16/1977,3.0201
3/17/1977,3.0601
3/18/1977,3.1001
3/21/1977,3.1401
3/22/1977,3.1801
3/23/1977,3.2026
3/24/1977,3.1426
3/25/1977,3.19
3/28/1977,3.1019
3/29/1977,3.1869
3/30/1977,3.085
3/31/1977,3.0875
4/1/1977,3.1344
4/4/1977,3.0748
4/5/1977,3.1357
4/6/1977,3.17
4/7/1977,3.2275
4/11/1977,3.2697
4/12/1977,3.3363
4/13/1977,3.2988
4/14/1977,3.3563
4/15/1977,3.345
4/18/1977,3.2553
4/19/1977,3.1855
4/20/1977,3.13
4/21/1977,3.09
4/22/1977,3.1875
4/25/1977,3.15
4/26/1977,3.0629
4/27/1977,3.0147
4/28/1977,3.0798
4/29/1977,3.0099
5/2/1977,2.9599
5/3/1977,2.8999
5/4/1977,2.955
5/5/1977,2.895
5/6/1977,2.835
5/9/1977,2.775
5/10/1977,2.7163
5/11/1977,2.7763
5/12/1977,2.7599
5/13/1977,2.7123
5/16/1977,2.7723
5/17/1977,2.8323
5/18/1977,2.8923
5/19/1977,2.9523
5/20/1977,3.0123
5/23/1977,3.0723
5/24/1977,3.0335
5/25/1977,2.88
5/26/1977,2.9095
5/27/1977,2.845
5/31/1977,2.7312
6/1/1977,2.665
6/2/1977,2.635
6/3/1977,2.63
6/6/1977,2.7783
6/7/1977,2.7666
6/8/1977,2.76
6/9/1977,2.7033
6/10/1977,2.6264
6/13/1977,2.54
6/14/1977,2.503
6/15/1977,2.3728
6/16/1977,2.2443
6/17/1977,2.55
6/20/1977,2.6829
6/21/1977,2.6896
6/22/1977,2.91
6/23/1977,2.8113
6/24/1977,2.73
6/27/1977,2.6718
6/28/1977,2.5868
6/29/1977,2.4675
6/30/1977,2.4614
7/1/1977,2.3339
7/5/1977,2.3939
7/6/1977,2.3975
7/7/1977,2.3375
7/8/1977,2.3927
7/11/1977,2.3852
7/12/1977,2.3295
7/13/1977,2.3395
7/15/1977,2.3833
7/18/1977,2.3233
7/19/1977,2.2633
7/20/1977,2.2033
7/21/1977,2.1433
7/22/1977,2.0833
7/25/1977,2.0233
7/26/1977,1.8919
7/27/1977,1.92
7/28/1977,2.07
7/29/1977,2.22
8/1/1977,2.0892
8/2/1977,2.0838
8/3/1977,2.1
8/4/1977,2
8/5/1977,1.885
8/8/1977,1.87
8/9/1977,2.0388
8/10/1977,2.0511
8/11/1977,1.996
8/12/1977,2.0472
8/15/1977,2.062
8/16/1977,2.1008
8/17/1977,2.0426
8/18/1977,2.0225
8/19/1977,2.04
8/22/1977,2.0554
8/23/1977,2.0313
8/24/1977,2.1025
8/25/1977,2.054
8/26/1977,1.9781
8/29/1977,1.883
8/30/1977,1.8959
8/31/1977,1.836
9/1/1977,1.8325
9/2/1977,1.8381
9/6/1977,1.8
9/7/1977,1.76
9/8/1977,1.7638
9/9/1977,1.78
9/12/1977,1.82
9/13/1977,1.8
9/14/1977,1.8396
9/15/1977,1.8355
9/16/1977,1.8327
9/19/1977,1.8727
9/20/1977,1.8606
9/21/1977,1.8206
9/22/1977,1.7806
9/23/1977,1.7206
9/26/1977,1.645
9/27/1977,1.675
9/28/1977,1.7097
9/29/1977,1.6568
9/30/1977,1.655
10/3/1977,1.6675
10/4/1977,1.5897
10/5/1977,1.5582
10/6/1977,1.6003
10/7/1977,1.6127
10/11/1977,1.6456
10/12/1977,1.627
10/13/1977,1.6088
10/14/1977,1.565
10/17/1977,1.6075
10/18/1977,1.5754
10/19/1977,1.5782
10/20/1977,1.5
10/21/1977,1.4906
10/24/1977,1.54
10/25/1977,1.615
10/26/1977,1.605
10/27/1977,1.66
10/28/1977,1.76
10/31/1977,1.845
11/1/1977,1.8043
11/2/1977,1.735
11/3/1977,1.7893
11/4/1977,1.9235
11/7/1977,1.9525
11/9/1977,2.004
11/10/1977,2.015
11/14/1977,1.9681
11/15/1977,1.95
11/16/1977,2.059
11/17/1977,2.1601
11/18/1977,2.113
11/21/1977,2.13
11/22/1977,2.0975
11/23/1977,2.065
11/25/1977,2.0267
11/28/1977,1.951
11/29/1977,1.8868
11/30/1977,1.7956
12/1/1977,1.7025
12/2/1977,1.6978
12/5/1977,1.7378
12/6/1977,1.7778
12/7/1977,1.8378
12/8/1977,1.8933
12/9/1977,1.8788
12/12/1977,1.83
12/13/1977,1.8642
12/14/1977,1.835
12/15/1977,1.775
12/16/1977,1.785
12/19/1977,1.7787
12/20/1977,1.8187
12/21/1977,1.8392
12/22/1977,1.8513
12/23/1977,1.9066
12/27/1977,1.9246
12/28/1977,1.91
12/29/1977,1.9431
12/30/1977,1.9203
1/3/1978,1.9517
1/4/1978,1.973
1/5/1978,1.95
1/6/1978,1.96
1/9/1978,1.9718
1/10/1978,2
1/11/1978,1.985
1/12/1978,1.98
1/13/1978,1.9805
1/16/1978,2.0125
1/17/1978,1.995
1/18/1978,1.9501
1/19/1978,1.9667
1/23/1978,1.9366
1/24/1978,1.9096
1/25/1978,1.945
1/26/1978,1.9025
1/27/1978,1.8868
1/30/1978,1.92
1/31/1978,1.9
2/1/1978,1.9
2/2/1978,1.9175
2/3/1978,1.92
2/6/1978,1.9425
2/8/1978,1.9931
2/9/1978,1.9806
2/10/1978,1.975
2/14/1978,1.977
2/15/1978,1.9213
2/16/1978,1.935
2/17/1978,1.8825
2/21/1978,1.91
2/22/1978,1.84
2/23/1978,1.8003
2/24/1978,1.777
2/27/1978,1.7088
2/28/1978,1.6351
3/1/1978,1.5986
3/2/1978,1.5586
3/3/1978,1.5186
3/6/1978,1.4933
3/7/1978,1.4697
3/8/1978,1.5097
3/9/1978,1.5497
3/10/1978,1.5683
3/13/1978,1.5876
3/14/1978,1.625
3/15/1978,1.5854
3/16/1978,1.564
3/17/1978,1.536
3/20/1978,1.5179
3/21/1978,1.5579
3/22/1978,1.5604
3/23/1978,1.581
3/27/1978,1.6721
3/28/1978,1.7288
3/29/1978,1.7251
3/30/1978,1.7
3/31/1978,1.6865
4/3/1978,1.625
4/4/1978,1.6446
4/5/1978,1.66
4/6/1978,1.6963
4/7/1978,1.705
4/10/1978,1.7375
4/11/1978,1.7998
4/12/1978,1.8098
4/13/1978,1.7905
4/14/1978,1.78
4/17/1978,1.765
4/18/1978,1.7633
4/19/1978,1.7778
4/20/1978,1.7784
4/21/1978,1.7425
4/24/1978,1.7225
4/25/1978,1.6808
4/26/1978,1.6497
4/27/1978,1.6223
4/28/1978,1.5825
5/1/1978,1.5638
5/2/1978,1.5583
5/3/1978,1.545
5/4/1978,1.5471
5/5/1978,1.5371
5/8/1978,1.5292
5/9/1978,1.545
5/10/1978,1.5789
5/11/1978,1.5893
5/12/1978,1.5875
5/15/1978,1.6088
5/16/1978,1.6355
5/17/1978,1.62
5/18/1978,1.63
5/19/1978,1.63
5/22/1978,1.6185
5/23/1978,1.6324
5/24/1978,1.6675
5/25/1978,1.66
5/26/1978,1.685
5/30/1978,1.687
5/31/1978,1.71
6/1/1978,1.7475
6/2/1978,1.8201
6/5/1978,1.8575
6/6/1978,1.7259
6/7/1978,1.7398
6/8/1978,1.735
6/9/1978,1.71
6/12/1978,1.655
6/13/1978,1.6613
6/14/1978,1.6691
6/15/1978,1.6985
6/16/1978,1.6515
6/19/1978,1.583
6/20/1978,1.6252
6/21/1978,1.626
6/22/1978,1.6375
6/23/1978,1.609
6/26/1978,1.6225
6/27/1978,1.5903
6/28/1978,1.5672
6/29/1978,1.54
6/30/1978,1.4862
7/3/1978,1.4218
7/5/1978,1.3823
